Source_ID,Title,Publisher,Source_type,URL,Evidence_used,Source_confidence,Downloaded_file
S018,Malaysian ITS Blueprint 2019-2023,Ministry of Works Malaysia,PDF,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,Defines ITS as ICT applied in road transport and traffic; national ITS context for Malaysian cities.,High,
S019,MMDA activates adaptive traffic lights,Philippine Information Agency,HTML,https://pia.gov.ph/news/mmda-activates-adaptive-traffic-lights-in-manila-and-caloocan/,MMDA adaptive traffic signal system uses sensors and is reported at 90% of intersections under jurisdiction.,High,
S020,Davao Public Transport Modernization Project,Asian Development Bank,Project/IEE,https://www.adb.org/projects/45296-006/main,"Project will establish a modern public bus transport system in Davao City, with bus stops, lanes and modern systems.",High,
S021,HCMC Metro Line 1 official page,Ho Chi Minh City Metro,HTML,https://hochiminhcitymetro.com/line-1/,Line 1 officially opened 22 December 2024; total length 19.7 km; 14 stations.,High,
S022,HCMC Green Transport Development ICR Review,World Bank,PDF,https://documents1.worldbank.org/curated/en/099032024144566453/pdf/P12650718180b80bc1901b18b3be54db8ea.pdf,HCMC public transport master plan and public transport context; buses accounted for 1.4% of daily trips in early baseline.,High,
S023,HCMC smart traffic management solution,SWARCO,HTML,https://www.swarco-its.com/flagship/ho-chi-minh-city-smart-traffic-management-solution,"HCMC DoT smart traffic management: 239 signalised intersections integrated, CCTV, VMS, central monitoring/control.",Medium,
S024,HCMC develops intelligent transportation system,Vietnamnet,HTML,https://vietnamnet.vn/en/hcm-city-promotes-developing-intelligent-transportation-system-2351715.html,"HCMC has about 1,000 traffic-light monitoring cameras and more than 200 cameras with automatic control capabilities.",Medium,
S025,Chiang Mai Airport RTC City Bus page,Airports of Thailand / Chiang Mai Airport,HTML,https://chiangmai.airportthai.co.th/service/transportation/detail/139,Chiang Mai Bus public transportation service; fare 30 baht per trip.,Medium,
S026,Khon Kaen City Bus route and station data,CityData / Smart City Data Platform,HTML,https://www.citydata.in.th/science-khon-kaen/en/reports/route-and-stations-khonkaen-city-bus/,Khon Kaen City Bus is a public bus service available 24h and supports smart-card ticketing.,Medium,
S027,Khon Kaen City Bus official page,Khon Kaen City Bus,HTML,https://khonkaencitybus.com/,Khon Kaen smart bus service with real-time vehicle location and route/timetable information.,Medium,
S028,Nakhon Ratchasima low-carbon e-bus project,UNDP / UK PACT,PDF/HTML,https://www.ukpact.co.uk/case-studies/electrifying-urban-transport-in-thailand,Supports e-bus policy development in Nakhon Ratchasima.,Medium,
S029,Nakhon Ratchasima e-bus executive summary,UNDP,PDF,https://www.undp.org/sites/g/files/zskgke326/files/2023-12/EUM157_Executive%20Summary%20%28Eng%29%201.pdf,Discusses e-bus service and charging station considerations for Nakhon Ratchasima municipality.,Medium,
S030,Hat Yai public transport evidence: Happy Bus / local van and songthaew,TAT/RailTravelStation/Travel guides,Mixed,https://www.facebook.com/tatnews.org/posts/-tat-rolls-out-a-free-happy-bus-under-the-smilehatyai-initiative-to-support-city/1418803736929492/,Evidence for limited local bus/van/songthaew services in Hat Yai; not a strong official transport supply source.,Low,
S031,Palembang LRT project,SMEC / Railway Technology,HTML,https://www.smec.com/project/palembang-light-rail-transit/,Palembang LRT has a 23.4 km track and 13 stations.,Medium,
S032,Surabaya Suroboyo Bus / Teman Bus,Surabaya Tourism / local transport sources,HTML,https://tourism.surabaya.go.id/transportation/detail/suroboyo-bus,Suroboyo Bus and Teman Bus indicate formal bus service in Surabaya.,Medium,
S033,Bandung ATCS,Bandung ATCS / city source,HTML,https://atcs-dishub.bandung.go.id/,"Bandung ATCS page describes central server/workstation, CCTV/local controllers and operational center evidence.",Medium,
S034,Surabaya GOBIS / real-time bus app,Surabaya Transportation Department / app source,HTML,https://gobis.surabaya.go.id/,Real-time monitoring for Suroboyo Bus; used as weak/basic ITS/public transport operations evidence.,Medium,
S035,Hanoi intelligent traffic control center with AI cameras,Nhan Dan / Vietnam News sources,HTML,https://en.nhandan.vn/ha-noi-gradually-digitises-urban-transport-with-ai-post157933.html,"Hanoi intelligent traffic control centre with more than 1,800 AI-enabled cameras and signal cabinets, from 2026 source; flagged as post-study-period evidence.",Medium,
