Country,City,Variable,Assigned_value,Source_ID,Source_title,Source_URL,Evidence_summary,Confidence
Malaysia,George Town,Signal/ITS,1,S018,Malaysian ITS Blueprint 2019-2023,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,National/Malaysian ITS context only; no strong city-specific signal coordination found in this pass.,Low
Malaysia,Ipoh,Public transport supply,1,S015,BAS.MY Ipoh route and supply page,https://bas.my/basmyipoh.php,"BAS.MY Ipoh: 16 routes, 442.8 km coverage, 51 buses.",High
Malaysia,Ipoh,Signal/ITS,0,S018,Malaysian ITS Blueprint 2019-2023,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,No clear city-specific ITS/signal coordination evidence located.,Low
Malaysia,Johor Bahru,Public transport supply,1,S014,BAS.MY Johor Bahru route and supply page,https://bas.my/basmyjohorbahru.php,"BAS.MY Johor Bahru: 21 routes, 559.0 km coverage, 162 buses.",High
Malaysia,Johor Bahru,Signal/ITS,0,S018,Malaysian ITS Blueprint 2019-2023,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,No clear city-specific ITS/signal coordination evidence located.,Low
Malaysia,Kajang,Public transport supply,2,S013,MyRapid official service website,https://myrapid.com.my/,MRT/LRT commuter-rail access through Greater Kuala Lumpur; treated as rapid-transit accessible urban node.,Medium
Malaysia,Kajang,Public transport supply,2,S005,"Kuala Lumpur Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/266/Kuala_Lumpur_transport_sector_profile.pdf,MRT/LRT commuter-rail access through Greater Kuala Lumpur; treated as rapid-transit accessible urban node.,Medium
Malaysia,Kajang,Signal/ITS,1,S018,Malaysian ITS Blueprint 2019-2023,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,"Klang Valley / national ITS context, but no Kajang-specific signal percentage.",Low
Malaysia,Kota Bharu,Public transport supply,1,S016,BAS.MY official portal,https://bas.my/basmy.php,BAS.MY/Kota Bharu bus service listed through national BAS.MY portal.,Medium
Malaysia,Kota Bharu,Signal/ITS,0,S018,Malaysian ITS Blueprint 2019-2023,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,No clear city-specific ITS/signal coordination evidence located.,Low
Malaysia,Kuala Lumpur,Public transport supply,3,S005,"Kuala Lumpur Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/266/Kuala_Lumpur_transport_sector_profile.pdf,ATO reports 256 km rapid transit; Google EIE PT mode share 4%; rich multimodal system.,High
Malaysia,Kuala Lumpur,Public transport supply,3,S013,MyRapid official service website,https://myrapid.com.my/,ATO reports 256 km rapid transit; Google EIE PT mode share 4%; rich multimodal system.,High
Malaysia,Kuala Lumpur,Signal/ITS,3,S017,Kuala Lumpur Command & Control Centre / DBKL,https://klccc.dbkl.gov.my/about-us/,DBKL KLCCC/TMC and Malaysian ITS/ITIS evidence support advanced score.,High
Malaysia,Kuala Lumpur,Signal/ITS,3,S018,Malaysian ITS Blueprint 2019-2023,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,DBKL KLCCC/TMC and Malaysian ITS/ITIS evidence support advanced score.,High
Malaysia,Seberang Perai,Public transport supply,1,S013,MyRapid official service website,https://myrapid.com.my/,Rapid Penang/Prasarana regional bus service; no rapid transit included.,Medium
Malaysia,Seberang Perai,Signal/ITS,1,S018,Malaysian ITS Blueprint 2019-2023,https://www.kkr.gov.my/sites/default/files/2022-09/Malaysian%20ITS%20Blueprint.pdf,National ITS context and Penang/Klang/urban management evidence weak; use basic score.,Low
Philippines,Davao City,Public transport supply,2,S006,"Davao City Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/279/Davao_City_transport_sector_profile.pdf,ATO reports low public-transport share; ADB modern bus system under implementation.,High
Philippines,Davao City,Public transport supply,2,S020,Davao Public Transport Modernization Project,https://www.adb.org/projects/45296-006/main,ATO reports low public-transport share; ADB modern bus system under implementation.,High
Philippines,Davao City,Signal/ITS,2,S020,Davao Public Transport Modernization Project,https://www.adb.org/projects/45296-006/main,Davao bus project includes signal priority/ITS; city smart traffic system evidence is implementation-stage.,Medium
Philippines,Manila,Public transport supply,3,S007,"Metro Manila Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/262/Metro_Manila_transport_sector_profile.pdf,Metro Manila ATO reports 76 km rapid transit and high public-transport share in profile data.,High
Philippines,Manila,Signal/ITS,3,S019,MMDA activates adaptive traffic lights,https://pia.gov.ph/news/mmda-activates-adaptive-traffic-lights-in-manila-and-caloocan/,MMDA adaptive signal system with sensor-based real-time adjustment; broad coverage reported.,High
Singapore,Singapore,Public transport supply,3,S012,Employed residents by usual mode of transport to work,https://data.gov.sg/datasets/d_eb11847db6d75a494f4e608c6cfa4a8f/view,Mature integrated MRT/LRT/bus system; mode-to-work dataset available.,High
Singapore,Singapore,Signal/ITS,3,S011,LTA Intelligent Transport Systems: GLIDE and TMCS,https://www.lta.gov.sg/content/ltagov/en/getting_around/driving_in_singapore/intelligent_transport_systems.html,"LTA GLIDE controls all traffic signals; TMCS around 1,100 cameras.",High
Thailand,Bangkok,Public transport supply,3,S008,"Bangkok Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/245/Bangkok_transport_sector_profile.pdf,ATO reports 108 km rapid transit: BRT 12 km and Metro 97 km.,High
Thailand,Bangkok,Signal/ITS,3,S008,"Bangkok Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/245/Bangkok_transport_sector_profile.pdf,Bangkok/BMA/traffic management evidence supports advanced metropolitan ITS/ATC score.,Medium
Thailand,Chiang Mai,Public transport supply,1,S025,Chiang Mai Airport RTC City Bus page,https://chiangmai.airportthai.co.th/service/transportation/detail/139,RTC Chiang Mai City Bus public transport service with fixed fare.,Medium
Thailand,Hat Yai,Public transport supply,1,S030,Hat Yai public transport evidence: Happy Bus / local van and songthaew,https://www.facebook.com/tatnews.org/posts/-tat-rolls-out-a-free-happy-bus-under-the-smilehatyai-initiative-to-support-city/1418803736929492/,Limited local bus/van/songthaew evidence; Happy Bus/local van evidence found but weak.,Low
Thailand,Khon Kaen,Public transport supply,1,S026,Khon Kaen City Bus route and station data,https://www.citydata.in.th/science-khon-kaen/en/reports/route-and-stations-khonkaen-city-bus/,Khon Kaen City Bus / Smart Bus evidence with smart-card and real-time route information.,Medium
Thailand,Khon Kaen,Public transport supply,1,S027,Khon Kaen City Bus official page,https://khonkaencitybus.com/,Khon Kaen City Bus / Smart Bus evidence with smart-card and real-time route information.,Medium
Thailand,Khon Kaen,Signal/ITS,1,S026,Khon Kaen City Bus route and station data,https://www.citydata.in.th/science-khon-kaen/en/reports/route-and-stations-khonkaen-city-bus/,"Smart city bus/data-platform evidence, but no clear signal coordination coverage.",Low
Thailand,Khon Kaen,Signal/ITS,1,S027,Khon Kaen City Bus official page,https://khonkaencitybus.com/,"Smart city bus/data-platform evidence, but no clear signal coordination coverage.",Low
Thailand,Nakhon Ratchasima,Public transport supply,1,S028,Nakhon Ratchasima low-carbon e-bus project,https://www.ukpact.co.uk/case-studies/electrifying-urban-transport-in-thailand,E-bus/low-carbon public-transport planning evidence; no mature rapid transit.,Medium
Thailand,Nakhon Ratchasima,Public transport supply,1,S029,Nakhon Ratchasima e-bus executive summary,https://www.undp.org/sites/g/files/zskgke326/files/2023-12/EUM157_Executive%20Summary%20%28Eng%29%201.pdf,E-bus/low-carbon public-transport planning evidence; no mature rapid transit.,Medium
Vietnam,Ha Noi,Public transport supply,2,S009,"Hanoi Urban Transport Sector Profile, December 2024",https://asiantransportobservatory.org/documents/274/Hanoi_transport_sector_profile.pdf,ATO reports 36 km rapid transit; private modes 91%; bus use low in profile narrative.,High
Vietnam,Ha Noi,Signal/ITS,2,S035,Hanoi intelligent traffic control center with AI cameras,https://en.nhandan.vn/ha-noi-gradually-digitises-urban-transport-with-ai-post157933.html,Recent intelligent traffic-control-centre evidence; partly post-study-period.,Medium
Vietnam,Ho Chi Minh,Public transport supply,2,S021,HCMC Metro Line 1 official page,https://hochiminhcitymetro.com/line-1/,HCMC Metro Line 1 opened in Dec 2024; World Bank baseline indicates very low bus share and motorcycle dominance.,High
Vietnam,Ho Chi Minh,Public transport supply,2,S022,HCMC Green Transport Development ICR Review,https://documents1.worldbank.org/curated/en/099032024144566453/pdf/P12650718180b80bc1901b18b3be54db8ea.pdf,HCMC Metro Line 1 opened in Dec 2024; World Bank baseline indicates very low bus share and motorcycle dominance.,High
Vietnam,Ho Chi Minh,Signal/ITS,3,S023,HCMC smart traffic management solution,https://www.swarco-its.com/flagship/ho-chi-minh-city-smart-traffic-management-solution,Smart traffic management solution integrates 239 signalised intersections; CCTV/VMS/central management.,High
Vietnam,Ho Chi Minh,Signal/ITS,3,S024,HCMC develops intelligent transportation system,https://vietnamnet.vn/en/hcm-city-promotes-developing-intelligent-transportation-system-2351715.html,Smart traffic management solution integrates 239 signalised intersections; CCTV/VMS/central management.,High
